dimension,value,count,correct,exact_accuracy,ci_lower,ci_upper,abstention_rate,error_rate
subject,named dish + language vocabulary on a chosen topic,3,0,0,0,0.561497032152052,0,0
subject,named dish | language vocabulary on a chosen topic,3,3,1,0.43850296784794796,1,0,0
subject,personality,31,10,0.3225806451612903,0.18569426557767774,0.4985899070611848,0.6774193548387096,0
subject,product,31,5,0.16129032258064516,0.07092624438778772,0.32634353974095,0.8387096774193549,0
subject,science,31,7,0.22580645161290322,0.11395135554946056,0.39812418398332705,0.7741935483870968,0
subject,single famous or historical person + MBTI types or MBTI-mapped character set,2,0,0,0,0.6576197728563925,1,0
subject,single famous or historical person + identity portrait,1,0,0,5.551115123125783e-17,0.7934506858870163,1,0
subject,single famous or historical person | MBTI types or MBTI-mapped character set,3,3,1,0.43850296784794796,1,0,0
subject,single plant or animal species + identity portrait,1,0,0,5.551115123125783e-17,0.7934506858870163,1,0
subject,single plant or animal species + language vocabulary on a chosen topic,2,0,0,0,0.6576197728563925,1,0
subject,single plant or animal species | language vocabulary on a chosen topic,4,4,1,0.5101091631424628,1,0,0
subject,small home or lifestyle product + named dish,3,0,0,0,0.561497032152052,1,0
subject,small home or lifestyle product | named dish,3,3,1,0.43850296784794796,1,0,0
subject,traditional heritage craft + destination trip,2,0,0,0,0.6576197728563925,0,0
subject,traditional heritage craft + identity portrait,1,0,0,5.551115123125783e-17,0.7934506858870163,1,0
subject,traditional heritage craft | destination trip,3,3,1,0.43850296784794796,1,0,0
subject,travel,31,7,0.22580645161290322,0.11395135554946056,0.39812418398332705,0.7741935483870968,0
subject,vocabulary,31,12,0.3870967741935484,0.23733101410461663,0.5617589139382959,0.6129032258064516,0
language,en,270,170,0.6296296296296297,0.5705871316797245,0.6850352284255482,0.44074074074074077,0
language,mixed,150,43,0.2866666666666667,0.2203381268237894,0.363649177456673,0.74,0
language,zh,246,21,0.08536585365853659,0.05651118332186564,0.12697100991433022,1,0
difficulty,high,293,96,0.32764505119453924,0.2764356288862195,0.383315403199561,0.7508532423208191,0
difficulty,low,172,55,0.31976744186046513,0.25465850408636775,0.392751154513897,0.7965116279069767,0
difficulty,medium,201,83,0.4129353233830846,0.34712296815080723,0.48201318328825005,0.5920398009950248,0
transformation_type,ambiguous_intent,60,40,0.6666666666666666,0.5405686644173975,0.7727073848381778,0.3333333333333333,0
transformation_type,aspect_ratio_modifier,75,31,0.41333333333333333,0.3087772912269892,0.5263348414829845,0.5866666666666667,0
transformation_type,audience_modifier,150,62,0.41333333333333333,0.337653409865523,0.49334143249841483,0.5866666666666667,0
transformation_type,boundary_case,60,40,0.6666666666666666,0.5405686644173975,0.7727073848381778,0.3333333333333333,0
transformation_type,boundary_nearby,150,16,0.10666666666666667,0.06673036962687699,0.16624622264022554,0.8866666666666667,0
transformation_type,clean,40,40,1,0.9123783986738101,1,1,0
transformation_type,code_switch,90,40,0.4444444444444444,0.3461565562146881,0.5472807355217152,0.6,0
transformation_type,conflicting_modifier,40,20,0.5,0.3519952692257863,0.6480047307742137,0.5,0
transformation_type,conversational,170,82,0.4823529411764706,0.4084620684554677,0.5570237250917734,0.6352941176470588,0
transformation_type,different_example,210,95,0.4523809523809524,0.38652049583220677,0.5199522709094816,0.8333333333333334,0
transformation_type,explicit_artifact,170,55,0.3235294117647059,0.25777682806876634,0.3970811074036449,0.7941176470588235,0
transformation_type,implicit_intent,150,16,0.10666666666666667,0.06673036962687699,0.16624622264022554,0.8866666666666667,0
transformation_type,layout_modifier,75,9,0.12,0.06443371820748062,0.21259640213625064,0.88,0
transformation_type,manual_anchor,16,1,0.0625,0.011119344752030469,0.28328737593587117,1,0
transformation_type,multi_clause,40,0,0,0,0.0876216013261899,0.5,0
transformation_type,multi_intent,60,0,0,0,0.06017185223327406,0.4,0
transformation_type,noisy,40,40,1,0.9123783986738101,1,1,0
transformation_type,paired_artifacts,48,0,0,6.938893903907228e-18,0.07410012977674438,0.3333333333333333,0
transformation_type,paraphrase,210,122,0.580952380952381,0.5133513124306893,0.6456449841084405,0.7047619047619048,0
transformation_type,style_modifier,75,31,0.41333333333333333,0.3087772912269892,0.5263348414829845,0.5866666666666667,0
transformation_type,supported_plus_unsupported,12,0,0,0,0.2424940069514271,0.6666666666666666,0
transformation_type,typo_noise,75,7,0.09333333333333334,0.04594852336497514,0.18034686858182503,0.8933333333333333,0
transformation_type,underspecified,120,16,0.13333333333333333,0.08376608959537797,0.2056479658138785,0.8583333333333333,0
transformation_type,unsupported_visual_request,60,60,1,0.9398281477667261,1,1,0
partition,challenge,120,40,0.3333333333333333,0.25531740495542593,0.42168898386696324,0.36666666666666664,0
partition,content_gap,81,81,1,0.9547219144978831,1,1,0
partition,core,465,113,0.24301075268817204,0.20623601654633722,0.28399677856949157,0.7548387096774194,0
challenge_type,__none__,546,194,0.3553113553113553,0.3163049454029559,0.39633949516523964,0.7912087912087912,0
challenge_type,ambiguous,14,7,0.5,0.2679920243773626,0.7320079756226374,0.5,0
challenge_type,boundary,14,7,0.5,0.2679920243773626,0.7320079756226374,0.5,0
challenge_type,conflicting_style_information,12,6,0.5,0.25378159748333845,0.7462184025166616,0.5,0
challenge_type,mixed_language_noisy,20,20,1,0.83887484172924,1,0,0
challenge_type,multi_intent,48,0,0,6.938893903907228e-18,0.07410012977674438,0.3333333333333333,0
challenge_type,supported_plus_unsupported,12,0,0,0,0.2424940069514271,0.6666666666666666,0
query_length_bucket,long_46_plus,417,188,0.45083932853717024,0.4037470168728711,0.49882912162287235,0.5443645083932853,0
query_length_bucket,medium_16_45,235,42,0.17872340425531916,0.13502876655977147,0.23275268670356458,1,0
query_length_bucket,short_0_15,14,4,0.2857142857142857,0.11721378636208563,0.5464908434993674,1,0
