id,query,language,difficulty,transformation_types,ontology,gold_mode,gold_targets,acceptable_target_sets,predicted_ranking,confidence,closest_competing_template,source_seed_id,validation_status,partition,challenge_type,abstained,system_error
vir-v2-core-vir-s01-06,请制作一张中英太空词汇的课堂词汇九宫格。,zh,low,"[""different_example"",""explicit_artifact""]","{""subject_event"":""language vocabulary on a chosen topic"",""information_type"":""bilingual vocabulary learning"",""style_layout"":""illustrated card grid or visual guide""}",single,"[""template-vocabulary""]",[],[],0.016364,template-vocabulary,vir-s01,auto_accepted,core,,true,
vir-v2-core-vir-s01-14,能不能把中英农场动物词汇做成插画单词卡组？给初学者看，风格清爽，竖版 4:5。,zh,medium,"[""paraphrase"",""conversational"",""audience_modifier"",""aspect_ratio_modifier""]","{""subject_event"":""language vocabulary on a chosen topic"",""information_type"":""bilingual vocabulary learning"",""style_layout"":""illustrated card grid or visual guide""}",single,"[""template-vocabulary""]",[],[],0.019231,template-vocabulary,vir-s01,auto_accepted,core,,true,
vir-v2-core-vir-s01-16,能不能把中英太空词汇做成双语词汇海报？给初学者看，风格清爽，竖版 4:5。,zh,medium,"[""paraphrase"",""conversational"",""audience_modifier"",""aspect_ratio_modifier""]","{""subject_event"":""language vocabulary on a chosen topic"",""information_type"":""bilingual vocabulary learning"",""style_layout"":""illustrated card grid or visual guide""}",single,"[""template-vocabulary""]",[],[],0.015734,template-vocabulary,vir-s01,auto_accepted,core,,true,
vir-v2-core-vir-s01-22,英韩厨房用品词汇，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""language vocabulary on a chosen topic"",""information_type"":""bilingual vocabulary learning"",""style_layout"":""illustrated card grid or visual guide""}",single,"[""template-vocabulary""]",[],[],0.014085,template-vocabulary,vir-s01,needs_review,core,,true,
vir-v2-core-vir-s01-24,中英农场动物词汇，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""language vocabulary on a chosen topic"",""information_type"":""bilingual vocabulary learning"",""style_layout"":""illustrated card grid or visual guide""}",single,"[""template-vocabulary""]",[],[],0.014085,template-vocabulary,vir-s01,needs_review,core,,true,
vir-v2-core-vir-s01-26,Need English-Chinese space terms，信息要一眼扫懂但别做成 generic poster，竖版 pls,mixed,high,"[""implicit_intent"",""code_switch"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""language vocabulary on a chosen topic"",""information_type"":""bilingual vocabulary learning"",""style_layout"":""illustrated card grid or visual guide""}",single,"[""template-vocabulary""]",[],[],0.073427,template-vocabulary,vir-s01,needs_review,core,,true,
vir-v2-core-vir-s01-27,英西身体部位词汇，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""language vocabulary on a chosen topic"",""information_type"":""bilingual vocabulary learning"",""style_layout"":""illustrated card grid or visual guide""}",single,"[""template-vocabulary""]",[],[],0.014085,template-vocabulary,vir-s01,needs_review,core,,true,
vir-v2-core-vir-s02-03,请制作一张there、their 和 they're 易混词的英语词对科普卡。,zh,low,"[""different_example"",""explicit_artifact""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],[],0.049914,template-english-grammar-wordlist-infographic,vir-s02,auto_accepted,core,,true,
vir-v2-core-vir-s02-06,请制作一张一词多义英语词汇的英语词对科普卡。,zh,low,"[""different_example"",""explicit_artifact""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],[],0.018966,template-english-grammar-wordlist-infographic,vir-s02,auto_accepted,core,,true,
vir-v2-core-vir-s02-14,能不能把sea 和 see 这类同音词做成同音词课堂海报？给初学者看，风格清爽，竖版 4:5。,zh,medium,"[""paraphrase"",""conversational"",""audience_modifier"",""aspect_ratio_modifier""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],[],0.034826,template-english-grammar-wordlist-infographic,vir-s02,auto_accepted,core,,true,
vir-v2-core-vir-s02-16,能不能把一词多义英语词汇做成英语易混词信息图？给初学者看，风格清爽，竖版 4:5。,zh,medium,"[""paraphrase"",""conversational"",""audience_modifier"",""aspect_ratio_modifier""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],[],0.023256,template-english-grammar-wordlist-infographic,vir-s02,auto_accepted,core,,true,
vir-v2-core-vir-s02-19,能不能把配卡通例子的英语同音词做成英语易混词信息图？给初学者看，风格清爽，竖版 4:5。,zh,medium,"[""paraphrase"",""conversational"",""audience_modifier"",""style_modifier""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],[],0.028239,template-english-grammar-wordlist-infographic,vir-s02,auto_accepted,core,,true,
vir-v2-core-vir-s02-22,带简短释义的英语同形同音词，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],[],0.021703,template-english-grammar-wordlist-infographic,vir-s02,needs_review,core,,true,
vir-v2-core-vir-s02-23,"there their and they're — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],[],0.084298,template-species-science,vir-s02,needs_review,core,,true,
vir-v2-core-vir-s02-24,sea 和 see 这类同音词，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],[],0.03005,template-english-grammar-wordlist-infographic,vir-s02,needs_review,core,,true,
vir-v2-core-vir-s02-26,Need English words with two meanings，信息要一眼扫懂但别做成 generic poster，竖版 pls,mixed,high,"[""implicit_intent"",""code_switch"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],[],0.079602,template-english-grammar-wordlist-infographic,vir-s02,needs_review,core,,true,
vir-v2-core-vir-s02-29,配卡通例子的英语同音词，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],[],0.018364,template-english-grammar-wordlist-infographic,vir-s02,needs_review,core,,true,
vir-v2-core-vir-s03-03,请制作一张童趣婴儿房的家居软装灵感板。,zh,low,"[""different_example"",""explicit_artifact""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],[],0.013817,template-interior-design-mood-board-generator,vir-s03,auto_accepted,core,,true,
vir-v2-core-vir-s03-04,Create an interior mood board for small home office.,en,low,"[""different_example"",""explicit_artifact""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],[],0.086655,template-interior-design-mood-board-generator,vir-s03,auto_accepted,core,,true,
vir-v2-core-vir-s03-07,Create an interior mood board for sage green kitchen.,en,low,"[""different_example"",""explicit_artifact""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],[],0.088388,template-interior-design-mood-board-generator,vir-s03,auto_accepted,core,,true,
vir-v2-core-vir-s03-09,Create a decor concept sheet for mid-century reading nook.,en,low,"[""different_example"",""explicit_artifact""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],[],0.097054,template-interior-design-mood-board-generator,vir-s03,auto_accepted,core,,true,
vir-v2-core-vir-s03-10,帮我做一个 pet-friendly studio apartment 的室内设计情绪板，labels 清楚一点。,mixed,low,"[""different_example"",""explicit_artifact""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],[],0.067568,template-interior-design-mood-board-generator,vir-s03,auto_accepted,core,,true,
vir-v2-core-vir-s03-13,童趣婴儿房 做成 an interior mood board，for beginners，4:5 竖版。,mixed,medium,"[""paraphrase"",""conversational"",""audience_modifier"",""style_modifier""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],[],0.058824,template-interior-design-mood-board-generator,vir-s03,auto_accepted,core,,true,
vir-v2-core-vir-s03-14,能不能把小户型家庭办公室做成空间配色材质板？给初学者看，风格清爽，竖版 4:5。,zh,medium,"[""paraphrase"",""conversational"",""audience_modifier"",""aspect_ratio_modifier""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],[],0.019967,template-interior-design-mood-board-generator,vir-s03,auto_accepted,core,,true,
vir-v2-core-vir-s03-19,能不能把中古风阅读角做成室内设计情绪板？给初学者看，风格清爽，竖版 4:5。,zh,medium,"[""paraphrase"",""conversational"",""audience_modifier"",""style_modifier""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],[],0.016639,template-interior-design-mood-board-generator,vir-s03,auto_accepted,core,,true,
vir-v2-core-vir-s03-23,"playful nursery room — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],[],0.0859,template-vocabulary,vir-s03,needs_review,core,,true,
vir-v2-core-vir-s03-24,小户型家庭办公室，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],[],0.0134,template-interior-design-mood-board-generator,vir-s03,needs_review,core,,true,
vir-v2-core-vir-s03-27,鼠尾草绿厨房，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],[],0.01005,template-interior-design-mood-board-generator,vir-s03,needs_review,core,,true,
vir-v2-core-vir-s03-29,中古风阅读角，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],[],0.01005,template-interior-design-mood-board-generator,vir-s03,needs_review,core,,true,
vir-v2-core-vir-s03-30,"pet-friedly studio apartment — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],[],0.086677,template-vocabulary,vir-s03,needs_review,core,,true,
vir-v2-core-vir-s04-05,帮我做一个 broken windows theory 的教育解释信息图，labels 清楚一点。,mixed,low,"[""different_example"",""explicit_artifact""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],[],0.044053,template-education-card,vir-s04,auto_accepted,core,,true,
vir-v2-core-vir-s04-06,请制作一张温室效应的卡通知识长图。,zh,low,"[""different_example"",""explicit_artifact""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],[],0.008996,template-education-card,vir-s04,auto_accepted,core,,true,
vir-v2-core-vir-s04-07,Create a popular-science knowledge card for muscle growth basics.,en,low,"[""different_example"",""explicit_artifact""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],[],0.099398,template-education-card,vir-s04,auto_accepted,core,,true,
vir-v2-core-vir-s04-09,Create a cartoon concept card for how interest rates affect us.,en,low,"[""different_example"",""explicit_artifact""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],[],0.095023,template-education-card,vir-s04,auto_accepted,core,,true,
vir-v2-core-vir-s04-10,帮我做一个 why eclipses occur 的知识科普卡，labels 清楚一点。,mixed,low,"[""different_example"",""explicit_artifact""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],[],0.036711,template-education-card,vir-s04,auto_accepted,core,,true,
vir-v2-core-vir-s04-16,能不能把温室效应做成知识科普卡？给初学者看，风格清爽，竖版 4:5。,zh,medium,"[""paraphrase"",""conversational"",""audience_modifier"",""aspect_ratio_modifier""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],[],0.011645,template-education-card,vir-s04,auto_accepted,core,,true,
vir-v2-core-vir-s04-19,能不能把利率如何影响生活做成知识科普卡？给初学者看，风格清爽，竖版 4:5。,zh,medium,"[""paraphrase"",""conversational"",""audience_modifier"",""style_modifier""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],[],0.017467,template-education-card,vir-s04,auto_accepted,core,,true,
vir-v2-core-vir-s04-25,"broken windows theory — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],[],0.093185,template-education-card,vir-s04,needs_review,core,,true,
vir-v2-core-vir-s04-26,Need the greenhouse effect，信息要一眼扫懂但别做成 generic poster，竖版 pls,mixed,high,"[""implicit_intent"",""code_switch"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],[],0.05225,template-education-card,vir-s04,needs_review,core,,true,
vir-v2-core-vir-s04-27,肌肉增长基础，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],[],0.008759,template-education-card,vir-s04,needs_review,core,,true,
vir-v2-core-vir-s04-29,利率如何影响生活，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],[],0.011679,template-education-card,vir-s04,needs_review,core,,true,
vir-v2-core-vir-s04-30,"why eclises occur — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],[],0.084371,template-education-card,vir-s04,needs_review,core,,true,
vir-v2-core-vir-s05-03,请制作一张经典动漫主角的电影感群像海报。,zh,low,"[""different_example"",""explicit_artifact""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],[],0.015025,template-fandom-character-grid-poster,vir-s05,auto_accepted,core,,true,
vir-v2-core-vir-s05-06,请制作一张电子游戏女主角的电影感群像海报。,zh,low,"[""different_example"",""explicit_artifact""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],[],0.016694,template-fandom-character-grid-poster,vir-s05,auto_accepted,core,,true,
vir-v2-core-vir-s05-08,请制作一张经典电视剧侦探角色的九人阵容角色墙。,zh,low,"[""different_example"",""explicit_artifact""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],[],0.020033,template-fandom-character-grid-poster,vir-s05,auto_accepted,core,,true,
vir-v2-core-vir-s05-09,Create a cinematic ensemble poster for space opera crew.,en,low,"[""different_example"",""explicit_artifact""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],[],0.099831,template-fandom-character-grid-poster,vir-s05,auto_accepted,core,,true,
vir-v2-core-vir-s05-13,经典动漫主角 做成 a 3x3 fandom character poster，for beginners，4:5 竖版。,mixed,medium,"[""paraphrase"",""conversational"",""audience_modifier"",""style_modifier""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],[],0.071661,template-fandom-character-grid-poster,vir-s05,auto_accepted,core,,true,
vir-v2-core-vir-s05-14,能不能把漫画超级英雄做成九人阵容角色墙？给初学者看，风格清爽，竖版 4:5。,zh,medium,"[""paraphrase"",""conversational"",""audience_modifier"",""aspect_ratio_modifier""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],[],0.016103,template-fandom-character-grid-poster,vir-s05,auto_accepted,core,,true,
vir-v2-core-vir-s05-16,能不能把电子游戏女主角做成九宫格角色海报？给初学者看，风格清爽，竖版 4:5。,zh,medium,"[""paraphrase"",""conversational"",""audience_modifier"",""aspect_ratio_modifier""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],[],0.017713,template-fandom-character-grid-poster,vir-s05,auto_accepted,core,,true,
vir-v2-core-vir-s05-18,经典电视剧侦探角色 做成 a cinematic ensemble poster，for beginners，4:5 竖版。,mixed,medium,"[""paraphrase"",""conversational"",""audience_modifier"",""aspect_ratio_modifier""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],[],0.076672,template-fandom-character-grid-poster,vir-s05,auto_accepted,core,,true,
vir-v2-core-vir-s05-19,能不能把太空歌剧主角团做成九宫格角色海报？给初学者看，风格清爽，竖版 4:5。,zh,medium,"[""paraphrase"",""conversational"",""audience_modifier"",""style_modifier""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],[],0.017713,template-fandom-character-grid-poster,vir-s05,auto_accepted,core,,true,
vir-v2-core-vir-s05-23,"classic anime protagonists — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],[],0.097039,template-species-science,vir-s05,needs_review,core,,true,
vir-v2-core-vir-s05-24,漫画超级英雄，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],[],0.009724,template-fandom-character-grid-poster,vir-s05,needs_review,core,,true,
vir-v2-core-vir-s05-26,Need video game heroines，信息要一眼扫懂但别做成 generic poster，竖版 pls,mixed,high,"[""implicit_intent"",""code_switch"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],[],0.05475,template-fandom-character-grid-poster,vir-s05,needs_review,core,,true,
vir-v2-core-vir-s05-28,"icoic TV detectives — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],[],0.085667,template-species-science,vir-s05,needs_review,core,,true,
