id,query,language,difficulty,semantic_cluster_id,profile_id,evaluation_k,returned_count,relevant_count,relevance_at_k,distinct_relevant_style_count,distinct_relevant_layout_count,style_entropy_nats,effective_style_count,relevant_effective_style_count,relevant_template_ids,predicted_template_ids,style_distribution,layout_distribution,abstained
vir-v2-exploration-011,Explore three visual directions for an informative and inspiring visual story about ginkgo. Vary style and composition. Show different options before I choose.,en,medium,vir-v2-exploration-ginkgo-visual-story,ginkgo-visual-story,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-012,Explore three visual directions for a Shaanxi paper-cutting culture experience for first-time visitors. Vary style and composition. Show different options before I choose.,en,medium,vir-v2-exploration-shaanxi-paper-cutting-visit,shaanxi-paper-cutting-visit,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-013,"Explore three visual directions for a cozy reading world for young adults, including atmosphere and useful ideas. Vary style and composition. Show different options before I choose.",en,medium,vir-v2-exploration-cozy-reading-world,cozy-reading-world,3,3,1,0.3333333333333333,1,1,0,1,0.3333333333333333,"[""template-lifestyle-watercolor-infographic""]","[""template-lifestyle-watercolor-infographic"",""template-vocabulary"",""template-product-poster""]","{""warm-watercolor-illustration"":1}","{""vignette-infographic"":1}",false
vir-v2-exploration-014,Explore three visual directions for a calm home-fragrance launch centered on an aroma diffuser. Vary style and composition. Show different options before I choose.,en,medium,vir-v2-exploration-home-fragrance-launch,home-fragrance-launch,3,3,1,0.3333333333333333,1,1,0,1,0.3333333333333333,"[""template-product-poster""]","[""template-product-poster"",""template-vocabulary"",""template-fandom-character-grid-poster""]","{""lifestyle-product-advertising"":1}","{""product-hero-poster"":1}",false
vir-v2-exploration-015,Explore three visual directions for a Marvel character world focused on personalities and relationship dynamics. Vary style and composition. Show different options before I choose.,en,medium,vir-v2-exploration-marvel-personality-world,marvel-personality-world,3,3,2,0.6666666666666666,2,2,0.6931471805599453,2,1.3333333333333333,"[""template-mbti-personality-compatibility-infographic"",""template-mbti-generic""]","[""template-mbti-personality-compatibility-infographic"",""template-mbti-generic"",""template-product-poster""]","{""cute-comparison-illustration"":1,""cartoon-personality-chart"":1}","{""comparison-chart"":1,""personality-grid"":1}",false
vir-v2-exploration-016,Explore three visual directions for a beginner-friendly campaign for learning English homophones and confusing words. Vary style and composition. Show different options before I choose.,en,medium,vir-v2-exploration-homophone-learning-campaign,homophone-learning-campaign,3,3,2,0.6666666666666666,2,2,0.6931471805599453,2,1.3333333333333333,"[""template-english-grammar-wordlist-infographic"",""template-vocabulary""]","[""template-english-grammar-wordlist-infographic"",""template-vocabulary"",""template-product-poster""]","{""boxed-cartoon-education"":1,""illustrated-flashcard"":1}","{""boxed-wordlist-infographic"":1,""card-grid"":1}",false
vir-v2-exploration-017,Explore three visual directions for a Cuban sandwich visual story for people discovering the dish. Vary style and composition. Show different options before I choose.,en,medium,vir-v2-exploration-cuban-sandwich-story,cuban-sandwich-story,3,3,2,0.6666666666666666,2,2,0.6931471805599453,2,1.3333333333333333,"[""template-recipe"",""template-vocabulary""]","[""template-recipe"",""template-product-poster"",""template-vocabulary""]","{""food-photography"":1,""illustrated-flashcard"":1}","{""recipe-poster"":1,""card-grid"":1}",false
vir-v2-exploration-018,Explore three visual directions for a Kyoto trip theme that helps visitors discover traditional crafts. Vary style and composition. Show different options before I choose.,en,medium,vir-v2-exploration-kyoto-craft-trip,kyoto-craft-trip,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-019,"Explore three visual directions for an orchid-inspired visual world spanning botanical story, colors, materials, and couture. Vary style and composition. Show different options before I choose.",en,medium,vir-v2-exploration-orchid-inspiration-system,orchid-inspiration-system,3,3,2,0.6666666666666666,2,2,0.6931471805599453,2,1.3333333333333333,"[""template-interior-design-mood-board-generator"",""template-fashion-inspired-gown-design-sheet""]","[""template-vocabulary"",""template-interior-design-mood-board-generator"",""template-fashion-inspired-gown-design-sheet""]","{""editorial-material-collage"":1,""fashion-illustration"":1}","{""mood-board"":1,""design-sheet"":1}",false
vir-v2-exploration-020,Explore three visual directions for a Chiikawa-themed cozy reading space and lifestyle idea. Vary style and composition. Show different options before I choose.,en,medium,vir-v2-exploration-chiikawa-reading-space,chiikawa-reading-space,3,3,2,0.6666666666666666,2,2,0.6931471805599453,2,1.3333333333333333,"[""template-lifestyle-watercolor-infographic"",""template-fandom-character-grid-poster""]","[""template-lifestyle-watercolor-infographic"",""template-fandom-character-grid-poster"",""template-product-poster""]","{""warm-watercolor-illustration"":1,""cinematic-character-poster"":1}","{""vignette-infographic"":1,""character-grid"":1}",false
vir-v2-exploration-021,围绕兼具知识性和灵感感的银杏视觉故事，explore three distinct visual directions，先别锁定一种 style。 Keep the core idea 一致，但表现路径要不同。,mixed,high,vir-v2-exploration-ginkgo-visual-story,ginkgo-visual-story,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-022,围绕面向初次到访者的陕西剪纸文化体验，explore three distinct visual directions，先别锁定一种 style。 Keep the core idea 一致，但表现路径要不同。,mixed,high,vir-v2-exploration-shaanxi-paper-cutting-visit,shaanxi-paper-cutting-visit,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-023,围绕面向年轻人的治愈阅读世界，要有氛围也有实用内容，explore three distinct visual directions，先别锁定一种 style。 Keep the core idea 一致，但表现路径要不同。,mixed,high,vir-v2-exploration-cozy-reading-world,cozy-reading-world,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-024,围绕以香薰机为核心的平静家居香氛发布主题，explore three distinct visual directions，先别锁定一种 style。 Keep the core idea 一致，但表现路径要不同。,mixed,high,vir-v2-exploration-home-fragrance-launch,home-fragrance-launch,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-025,围绕聚焦人物性格和关系互动的漫威角色世界，explore three distinct visual directions，先别锁定一种 style。 Keep the core idea 一致，但表现路径要不同。,mixed,high,vir-v2-exploration-marvel-personality-world,marvel-personality-world,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-026,围绕面向初学者的英语同音词和易混词学习主题，explore three distinct visual directions，先别锁定一种 style。 Keep the core idea 一致，但表现路径要不同。,mixed,high,vir-v2-exploration-homophone-learning-campaign,homophone-learning-campaign,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-027,围绕面向第一次了解古巴三明治的人做一组视觉故事，explore three distinct visual directions，先别锁定一种 style。 Keep the core idea 一致，但表现路径要不同。,mixed,high,vir-v2-exploration-cuban-sandwich-story,cuban-sandwich-story,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-028,围绕帮助旅行者发现京都传统工艺的旅行主题，explore three distinct visual directions，先别锁定一种 style。 Keep the core idea 一致，但表现路径要不同。,mixed,high,vir-v2-exploration-kyoto-craft-trip,kyoto-craft-trip,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-029,围绕从植物故事延伸到配色、材质和高定设计的兰花视觉世界，explore three distinct visual directions，先别锁定一种 style。 Keep the core idea 一致，但表现路径要不同。,mixed,high,vir-v2-exploration-orchid-inspiration-system,orchid-inspiration-system,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-030,围绕吉伊卡哇主题的治愈阅读空间和生活方式创意，explore three distinct visual directions，先别锁定一种 style。 Keep the core idea 一致，但表现路径要不同。,mixed,high,vir-v2-exploration-chiikawa-reading-space,chiikawa-reading-space,3,0,0,0,0,0,0,0,0,[],[],{},{},true
