id,query,language,difficulty,partition,challenge_type,source_seed_id,semantic_cluster_id,transformation_types,ontology,target_mode,targets,acceptable_target_sets,validation_status,deterministic_issues,catalog_collision,reviewer_decision,reviewer_notes
vir-v2-core-vir-s02-28,"frequntly confused English pairs — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s02,vir-v2-vir-s02-cluster-08,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],needs_review,[],,,
vir-v2-core-vir-s02-29,配卡通例子的英语同音词，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s02,vir-v2-vir-s02-cluster-09,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],needs_review,[],,,
vir-v2-core-vir-s02-30,"ESL sound-alike word revew — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s02,vir-v2-vir-s02-cluster-10,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],needs_review,[],,,
vir-v2-core-vir-s03-21,Need Japandi living room，信息要一眼扫懂但别做成 generic poster，竖版 pls,mixed,high,core,,vir-s03,vir-v2-vir-s03-cluster-01,"[""implicit_intent"",""code_switch"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],needs_review,[],,,
vir-v2-core-vir-s03-22,暖色极简卧室，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s03,vir-v2-vir-s03-cluster-02,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],needs_review,[],,,
vir-v2-core-vir-s03-23,"playful nursery room — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s03,vir-v2-vir-s03-cluster-03,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],needs_review,[],,,
vir-v2-core-vir-s03-24,小户型家庭办公室，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s03,vir-v2-vir-s03-cluster-04,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],needs_review,[],,,
vir-v2-core-vir-s03-25,"coastal bathroom — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s03,vir-v2-vir-s03-cluster-05,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],needs_review,[],,,
vir-v2-core-vir-s03-26,Need industrial dining bar，信息要一眼扫懂但别做成 generic poster，竖版 pls,mixed,high,core,,vir-s03,vir-v2-vir-s03-cluster-06,"[""implicit_intent"",""code_switch"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],needs_review,[],,,
vir-v2-core-vir-s03-27,鼠尾草绿厨房，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s03,vir-v2-vir-s03-cluster-07,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],needs_review,[],,,
vir-v2-core-vir-s03-28,"aromaterapy spa corner — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s03,vir-v2-vir-s03-cluster-08,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],needs_review,[],,,
vir-v2-core-vir-s03-29,中古风阅读角，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s03,vir-v2-vir-s03-cluster-09,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],needs_review,[],,,
vir-v2-core-vir-s03-30,"pet-friedly studio apartment — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s03,vir-v2-vir-s03-cluster-10,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],needs_review,[],,,
vir-v2-core-vir-s04-21,Need opportunity cost in daily life，信息要一眼扫懂但别做成 generic poster，竖版 pls,mixed,high,core,,vir-s04,vir-v2-vir-s04-cluster-01,"[""implicit_intent"",""code_switch"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],needs_review,[],,,
vir-v2-core-vir-s04-22,通货膨胀为什么发生，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s04,vir-v2-vir-s04-cluster-02,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],needs_review,[],,,
vir-v2-core-vir-s04-23,"plate tectonics for children — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s04,vir-v2-vir-s04-cluster-03,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],needs_review,[],,,
vir-v2-core-vir-s04-24,视觉错觉原理，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s04,vir-v2-vir-s04-cluster-04,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],needs_review,[],,,
vir-v2-core-vir-s04-25,"broken windows theory — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s04,vir-v2-vir-s04-cluster-05,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],needs_review,[],,,
vir-v2-core-vir-s04-26,Need the greenhouse effect，信息要一眼扫懂但别做成 generic poster，竖版 pls,mixed,high,core,,vir-s04,vir-v2-vir-s04-cluster-06,"[""implicit_intent"",""code_switch"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],needs_review,[],,,
vir-v2-core-vir-s04-27,肌肉增长基础，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s04,vir-v2-vir-s04-cluster-07,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],needs_review,[],,,
vir-v2-core-vir-s04-28,"DNA inhertance basics — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s04,vir-v2-vir-s04-cluster-08,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],needs_review,[],,,
vir-v2-core-vir-s04-29,利率如何影响生活，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s04,vir-v2-vir-s04-cluster-09,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],needs_review,[],,,
vir-v2-core-vir-s04-30,"why eclises occur — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s04,vir-v2-vir-s04-cluster-10,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],needs_review,[],,,
vir-v2-core-vir-s05-21,Need Chiikawa and friends，信息要一眼扫懂但别做成 generic poster，竖版 pls,mixed,high,core,,vir-s05,vir-v2-vir-s05-cluster-01,"[""implicit_intent"",""code_switch"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],needs_review,[],,,
vir-v2-core-vir-s05-22,原神璃月角色，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s05,vir-v2-vir-s05-cluster-02,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],needs_review,[],,,
vir-v2-core-vir-s05-23,"classic anime protagonists — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s05,vir-v2-vir-s05-cluster-03,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],needs_review,[],,,
vir-v2-core-vir-s05-24,漫画超级英雄，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s05,vir-v2-vir-s05-cluster-04,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],needs_review,[],,,
vir-v2-core-vir-s05-25,"fantasy saga villains — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s05,vir-v2-vir-s05-cluster-05,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],needs_review,[],,,
vir-v2-core-vir-s05-26,Need video game heroines，信息要一眼扫懂但别做成 generic poster，竖版 pls,mixed,high,core,,vir-s05,vir-v2-vir-s05-cluster-06,"[""implicit_intent"",""code_switch"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],needs_review,[],,,
vir-v2-core-vir-s05-27,战国武将群像，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s05,vir-v2-vir-s05-cluster-07,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],needs_review,[],,,
vir-v2-core-vir-s05-28,"icoic TV detectives — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s05,vir-v2-vir-s05-cluster-08,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],needs_review,[],,,
vir-v2-core-vir-s05-29,太空歌剧主角团，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s05,vir-v2-vir-s05-cluster-09,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],needs_review,[],,,
vir-v2-core-vir-s05-30,"legedary fantasy warriors — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s05,vir-v2-vir-s05-cluster-10,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],needs_review,[],,,
vir-v2-core-vir-s06-21,Need cozy reading rituals，信息要一眼扫懂但别做成 generic poster，竖版 pls,mixed,high,core,,vir-s06,vir-v2-vir-s06-cluster-01,"[""implicit_intent"",""code_switch"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""cozy everyday lifestyle"",""information_type"":""tips, habits, or aesthetic inspiration"",""style_layout"":""warm watercolor infographic poster""}",single,"[""template-lifestyle-watercolor-infographic""]",[],needs_review,[],,,
vir-v2-core-vir-s06-22,慢节奏周日早晨，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s06,vir-v2-vir-s06-cluster-02,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""cozy everyday lifestyle"",""information_type"":""tips, habits, or aesthetic inspiration"",""style_layout"":""warm watercolor infographic poster""}",single,"[""template-lifestyle-watercolor-infographic""]",[],needs_review,[],,,
vir-v2-core-vir-s06-23,"rainy-day self care — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s06,vir-v2-vir-s06-cluster-03,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""cozy everyday lifestyle"",""information_type"":""tips, habits, or aesthetic inspiration"",""style_layout"":""warm watercolor infographic poster""}",single,"[""template-lifestyle-watercolor-infographic""]",[],needs_review,[],,,
vir-v2-core-vir-s06-24,正念饮茶习惯，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s06,vir-v2-vir-s06-cluster-04,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""cozy everyday lifestyle"",""information_type"":""tips, habits, or aesthetic inspiration"",""style_layout"":""warm watercolor infographic poster""}",single,"[""template-lifestyle-watercolor-infographic""]",[],needs_review,[],,,
vir-v2-core-vir-s06-25,"gentle evening wind-down — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s06,vir-v2-vir-s06-cluster-05,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""cozy everyday lifestyle"",""information_type"":""tips, habits, or aesthetic inspiration"",""style_layout"":""warm watercolor infographic poster""}",single,"[""template-lifestyle-watercolor-infographic""]",[],needs_review,[],,,
vir-v2-core-vir-s06-26,Need spring journaling habits，信息要一眼扫懂但别做成 generic poster，竖版 pls,mixed,high,core,,vir-s06,vir-v2-vir-s06-cluster-06,"[""implicit_intent"",""code_switch"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""cozy everyday lifestyle"",""information_type"":""tips, habits, or aesthetic inspiration"",""style_layout"":""warm watercolor infographic poster""}",single,"[""template-lifestyle-watercolor-infographic""]",[],needs_review,[],,,
vir-v2-core-vir-s06-27,无屏幕周末灵感，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s06,vir-v2-vir-s06-cluster-07,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""cozy everyday lifestyle"",""information_type"":""tips, habits, or aesthetic inspiration"",""style_layout"":""warm watercolor infographic poster""}",single,"[""template-lifestyle-watercolor-infographic""]",[],needs_review,[],,,
vir-v2-core-vir-s06-28,"small daily mood boosers — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s06,vir-v2-vir-s06-cluster-08,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""cozy everyday lifestyle"",""information_type"":""tips, habits, or aesthetic inspiration"",""style_layout"":""warm watercolor infographic poster""}",single,"[""template-lifestyle-watercolor-infographic""]",[],needs_review,[],,,
vir-v2-core-vir-s06-29,温暖编织午后，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s06,vir-v2-vir-s06-cluster-09,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""cozy everyday lifestyle"",""information_type"":""tips, habits, or aesthetic inspiration"",""style_layout"":""warm watercolor infographic poster""}",single,"[""template-lifestyle-watercolor-infographic""]",[],needs_review,[],,,
vir-v2-core-vir-s06-30,"calm desk break rouine — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s06,vir-v2-vir-s06-cluster-10,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""cozy everyday lifestyle"",""information_type"":""tips, habits, or aesthetic inspiration"",""style_layout"":""warm watercolor infographic poster""}",single,"[""template-lifestyle-watercolor-infographic""]",[],needs_review,[],,,
vir-v2-core-vir-s07-21,Need three days in Iceland，信息要一眼扫懂但别做成 generic poster，竖版 pls,mixed,high,core,,vir-s07,vir-v2-vir-s07-cluster-01,"[""implicit_intent"",""code_switch"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""destination trip"",""information_type"":""itinerary and route planning"",""style_layout"":""cute hand-drawn map with daily blocks""}",single,"[""template-travel""]",[],needs_review,[],,,
vir-v2-core-vir-s07-22,巴塔哥尼亚小众旅行，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s07,vir-v2-vir-s07-cluster-02,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""destination trip"",""information_type"":""itinerary and route planning"",""style_layout"":""cute hand-drawn map with daily blocks""}",single,"[""template-travel""]",[],needs_review,[],,,
vir-v2-core-vir-s07-23,"hidden corners of Kyoto — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s07,vir-v2-vir-s07-cluster-03,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""destination trip"",""information_type"":""itinerary and route planning"",""style_layout"":""cute hand-drawn map with daily blocks""}",single,"[""template-travel""]",[],needs_review,[],,,
